name,brand,price_idr,cpu_brand,cpu_gen,cpu_tier,cpu_model,ram_gb,ssd_gb,storage_type,nvme,screen_inch,resolution,display_type,touchscreen,gpu_type,os,sold_count,rating
"Laptop Dell Latitude 7390 Core i5 Gen 8 RAM 16GB SSD 256 FHD IPS Murah - SSD 128GB, 8 gb",Dell,3799000,Intel,8,i5,8350U,16,128,SSD,0,,FHD,IPS,0,Integrated,Windows 10,80,5.0
"Laptop Dell Latitude 7390 Core i7 Gen 8 RAM 16GB SSD 512 IPS Win10 Ori - NVME 256GB, 8 gb",Dell,4799000,Intel,8,i7,8650U,16,256,SSD,1,,FHD,IPS,0,Integrated,Windows 10,50,4.8
Laptop Dell Latitude 7430 i7 Gen 12 RAM 32GB Touchscreen | Ultrabook Tipis Ringan - SSD 256GB,Dell,7799000,Intel,12,i7,1265U,32,256,SSD,1,14.0,FHD,IPS,1,Integrated,,30,5.0
Laptop Dell Latitude 7480 Core i5 7th 8GB 256GB SSD Touchscreen FullHD,Dell,6499000,Intel,,i5,,8,256,SSD,0,14.0,FHD,IPS,1,Integrated,,6,5.0
Laptop Dell Latitude 7490 Core i5 RAM 16GB SSD 512GB Win 10 Original - SSD 256GB,Dell,3999000,Intel,8,i5,8365U,16,256,SSD,0,14.0,,,0,Integrated,Windows 10,40,5.0
"Laptop Dell Latitude 7490 Core i7 8650u RAM 8GB SSD 256 FHD Win 10 Ori - SSD 256GB, 8 gb",Dell,4599000,Intel,8,i7,8650U,8,256,SSD,0,14.0,FHD,IPS,0,Integrated,Windows 10,70,5.0
Laptop Dell Latitude e5440 - Corei5 4300u - 4GB - Mulus Normal Murah - RAM 8GB HDD 500,Dell,3299000,Intel,4,i5,4300U,4,500,HDD,0,,HD,,0,Integrated,,8,5.0
Laptop Dell Latitude E5450 Core i7 5600u RAM 8GB SSD256 Nvidia 2GB FHD,Dell,6000000,Intel,5,i7,5600U,8,256,SSD,0,14.0,FHD,IPS,0,Dedicated,,29,4.9
Laptop Dell Latitude E5470 Core i5 RAM 8GB SSD 256 Touchscreen Full HD - Tidak Touch,Dell,3999900,Intel,,i5,,8,256,SSD,0,14.0,FHD,IPS,1,Integrated,,7,5.0
Laptop Dell Latitude E5470 Core i7 6820HQ RAM 16GB SSD 256 Full HD IPS - RAM 16GB SSD256,Dell,6299000,Intel,6,i7,6820HQ,16,256,SSD,0,14.0,FHD,IPS,0,Integrated,,50,5.0
Laptop Dell Latitude E5570 Corei7 6th Gen RaM 8GB SSD 512 VGA 2GB,Dell,7000000,Intel,6,i7,6600U,8,512,SSD,0,15.6,,,0,Integrated,,2,5.0
Laptop Dell Latitude E6420 Core i7 RAM 4GB HDD 320GB DVD Win 10 Murah,Dell,3400000,Intel,,i7,,4,320,HDD,0,,,,0,Integrated,Windows 10,6,5.0
Laptop Dell Latitude E6430 Core i7 RAM 8GB 320GB DVD Murah Mulus - RAM 8GB SSD 256,Dell,3850000,Intel,3,i7,3540M,8,256,SSD,0,,,,0,Integrated,,60,4.9
Laptop Dell Latitude e6440 - Corei5 4300M - 4GB - Murah Mulus - GOOD,Dell,3400000,Intel,4,i5,4300M,4,,SSD,0,,HD,,0,Integrated,,13,4.9
Laptop Dell Latitude E6540 Core i7 RAM 8GB SSD 240GB VGA 2GB Murah - 8GB SSD 240GB,Dell,6499000,Intel,4,i7,4600M,8,240,SSD,0,15.6,HD,,0,Integrated,,30,4.9
Laptop Dell Latitude E7240 - Core i7 - SSD 128GB - Touchscreen Full HD,Dell,6000000,Intel,4,i7,4600U,4,128,SSD,0,,FHD,,1,Integrated,,5,4.2
Laptop Dell Latitude e7250 Corei7 5600 8GB SSD 128 Full HD Touchscreen,Dell,6499000,Intel,5,i7,5600,8,128,SSD,0,,FHD,,1,Integrated,,,
Laptop Dell Latitude e7250 TouchScreen Full HD Core i5 5300u 8GB Murah,Dell,4699000,Intel,5,i5,5300U,8,256,SSD,0,,FHD,,1,Integrated,,14,4.5
Laptop Dell Latitude E7270 Core i5 6300 8GB SSD 256 Touch Full HD Slim - SSD 256GB,Dell,3499000,Intel,6,i5,6300,8,256,SSD,0,12.5,FHD,IPS,1,Integrated,,50,4.9
"Laptop Dell Latitude E7270 - Core i5 Gen6 - 8GB - SSD 256 - Murah Slim - SSD 128GB, 8 gb",Dell,2799000,Intel,6,i5,,8,128,SSD,0,12.5,HD,,0,Integrated,,30,4.9
Laptop Dell Latitude E7270 Core i7 Gen 6 - 8GB - SSD 256 - Murah Slim,Dell,3599000,Intel,6,i7,,8,256,SSD,0,12.5,HD,,0,Integrated,,40,5.0
Laptop Dell Latitude E7270 Core i7 Gen6 - 8GB - SSD 256 - IPS Full HD,Dell,5499000,Intel,6,i7,,8,256,SSD,0,12.5,FHD,IPS,0,Integrated,,19,4.6
Laptop Dell Latitude E7450 Core i5 5300u RAM 8GB SSD 256 IPS Full HD,Dell,3499000,Intel,5,i5,5300U,8,256,SSD,0,14.0,FHD,IPS,0,Integrated,,22,4.9
Laptop Dell Latitude E7450 Core i7 - 8GB - SSD 256 - IPS FULL HD Murah,Dell,5400000,Intel,5,i7,5600U,8,256,SSD,0,,FHD,IPS,0,Integrated,,16,5.0
Laptop Dell Latitude E7470 Core i5 - 8GB - SSD 180 - IPS FULL HD Murah - RAM 8/256,Dell,3099000,Intel,,i5,,8,180,SSD,0,14.0,FHD,IPS,1,Integrated,,100,5.0
Laptop Dell Latitude E7470 Core i7 6600u RAM 16GB SSD 256 FHD IPS - SSD 128GB,Dell,3750000,Intel,6,i7,6600U,16,128,SSD,0,14.0,FHD,IPS,1,Integrated,,12,4.8
"Laptop Dell Latitude E7480 Core i5 8GB 256GB SSD IPS Full HD Murah - TOUCH SSD 128GB, 8 gb",Dell,3499000,Intel,,i5,,8,128,SSD,0,14.0,FHD,IPS,1,Integrated,,40,4.9
Laptop Dell Murah Latitude E5440 Core i5 Gen4 - 8GB - SSD 240GB Win10,Dell,3299000,Intel,4,i5,4300U,8,240,SSD,0,14.0,,,0,Integrated,Windows 10,14,5.0
Laptop Dell Murah Latitude E6440 Core i7 Gen4 - 8GB - SSD 128 - Win 10,Dell,4399000,Intel,4,i7,4610M,8,128,SSD,0,14.0,HD,,0,Integrated,Windows 10,28,4.9
Laptop Dell Murah Latitude E7240 Core i7 SSD 256 Touchscreen Full HD,Dell,5500000,Intel,4,i7,4600U,8,256,SSD,0,12.5,FHD,IPS,1,Integrated,,2,5.0
Laptop Dell Murah Latitude E7440 Core i7 Gen4 - 8GB - SSD 256 - Win10,Dell,4999000,Intel,4,i7,4600U,8,256,SSD,0,14.0,,,0,Integrated,Windows 10,30,4.7
Laptop Dell Precision 3470 Core i7 Gen 12 RAM 32 SSD NVME 512 VGA Nvidia T550 4GB Touchscreen FHD IPS - RAM 16GB SSD 256GB,Dell,9499000,Intel,12,i7,,4,256,SSD,1,14.0,FHD,IPS,1,Dedicated,Windows 11,,
"Laptop Dell Precision 5530 Core i7 8850H RAM 16GB SSD 256 Nvidia 4GB - SSD NVME 256GB, 8 gb",Dell,8050000,Intel,8,i7,8850H,16,256,SSD,1,15.0,FHD,IPS,0,Dedicated,Windows 10,40,4.9
"Laptop Dell Precision 5530 Core i7 8th Gen RAM 16GB Nvidia 4GB UHD 4K - SSD NVME 256GB, 8 gb",Dell,8499000,Intel,8,i7,8850H,16,256,SSD,1,15.0,4K,IPS,1,Dedicated,Windows 10,12,5.0
Laptop Dell Precision 5540 Core i7 9850H RAM 32GB Nvidia 4GB Full Set,Dell,10500000,Intel,9,i7,9850H,32,512,SSD,0,15.0,FHD,IPS,0,Dedicated,Windows 10,22,4.7
Laptop Dell Precision 5540 Core i9 9850H RAM 32GB Nvidia 4GB T2000,Dell,14000000,Intel,9,i9,9850H,32,512,SSD,1,15.0,FHD,IPS,0,Dedicated,Windows 10,9,5.0
Laptop Dell Precision 7510 intel Xeon RAM 16GB Nvidia 4GB Dual Drive - VGA AMD FirePro,Dell,9499000,,,,,16,256,SSD,0,15.6,FHD,IPS,0,Dedicated,,30,5.0
Laptop Dell Precision 7710 Core i7 RAM 32GB SSD 256GB VGA 4GB Nvidia,Dell,12500000,Intel,6,i7,6820HQ,32,256,SSD,0,17.0,FHD,IPS,0,Dedicated,,,
Laptop Dell Precision M4800 Core i7 8GB SSD 256 Quadro K2100M 2GB DDR5 - Harddisk 500GB,Dell,6499000,Intel,4,i7,4810MQ,8,256,SSD,0,,FHD,IPS,0,Dedicated,,5,5.0
Laptop Dell Vostro 5471 Core i5 8250 RAM 8GB SSD 256 AMD R7 2GB Win 10 - SSD 512GB,Dell,10200000,Intel,8,i5,8250,8,512,SSD,0,14.0,FHD,IPS,0,Integrated,Windows 10,27,4.8
Laptop Fujitsu A561 - Corei5 2520M - 4GB - DVD - Murah-Original Japan,Fujitsu,2350000,Intel,2,i5,2520M,4,,SSD,0,,HD,,0,Integrated,,25,4.8
Laptop Gaming Hp Elitebook 745 G6 AMD Ryzen 5 3500 RAM 16GB FHD IPS - SSD 256GB,Hp,4250000,AMD,3,ryzen5,3500,16,256,SSD,0,14.0,FHD,IPS,0,Integrated,Windows 10,16,4.5
Laptop Gaming HP Zbook 14u G6 Core i7 8th Gen RAM 16GB SSD VGA AMD 4GB,Hp,6050000,Intel,8,i7,8665U,16,256,SSD,0,14.0,FHD,IPS,0,Dedicated,,3,5.0
Laptop Gaming Toshiba Z50C - Core i7 Gen6 - SSD 512 - 8GB - Nvidia 2GB,Toshiba,6899000,Intel,6,i7,,8,512,SSD,0,15.6,FHD,,0,Dedicated,,40,4.7
Laptop Hp Elite X2 Core M5-6Y54 - SSD 256 - IPS FULL HD Touchscreen,Hp,3699000,,,,,8,256,SSD,0,12.5,FHD,IPS,1,Integrated,,40,4.8
Laptop Hp EliteBook 725 G3 AMD A8 Gen8 RAM 8GB 500GB VGA Radeon R6 - SSD 256GB,Hp,2699000,,,,,8,256,SSD,0,14.0,,,0,Integrated,,29,5.0
Laptop HP Elitebook 745 AMD Ryzen 5 RAM 16GB SSD Radeon VEGA 8 FHD IPS - SSD 256GB,Hp,4250000,AMD,,ryzen5,,16,256,SSD,0,14.0,FHD,IPS,0,Integrated,Windows 10,90,4.9
"Laptop HP Elitebook 820 G2 Core i5 Gen5 - SSD 256 - Touchscreen Murah - SSD 128GB, 8 gb",Hp,2699000,Intel,5,i5,6200U,8,128,SSD,0,12.5,FHD,,1,Integrated,,40,5.0
Laptop Hp Elitebook 820 G2 Core i7 Gen 5 RAM 8GB SSD 256 Slim Murah - 8GB SSD 256GB,Hp,3899000,Intel,5,i7,5600U,8,256,SSD,0,12.5,HD,,0,Integrated,,70,5.0
"Laptop Hp Elitebook 820 G3 Core i5 6300u SSD 256 Touchscreen Full HD - SSD 128GB, 8 gb",Hp,2550000,Intel,6,i5,6300U,8,128,SSD,0,12.5,FHD,IPS,1,Integrated,,100,4.9
Laptop Hp Elitebook 820 G3 Core i7 6600u RAM 8GB SSD Full HD IPS Murah - SSD 128GB,Hp,2699000,Intel,6,i7,6600U,8,128,SSD,0,12.5,FHD,IPS,0,Integrated,,11,5.0
Laptop Hp Elitebook 820 G4 Core i7 7500u RAM 8GB SSD Full HD IPS Murah - 8GB SSD 128GB,Hp,4499000,Intel,7,i7,7500U,8,128,SSD,0,12.5,FHD,IPS,0,Integrated,,10,5.0
Laptop Hp Elitebook 830 G7 Core i7 10th Gen RAM 16GB SSD Touchscreen - NON Touchscreen,Hp,6900000,Intel,10,i7,10610U,16,512,SSD,0,13.3,FHD,IPS,1,Integrated,,13,5.0
Laptop HP Elitebook 840 G2 Core i5 5300u 8GB SSD 180 Win 10 Murah Slim,Hp,2050000,Intel,5,i5,5300U,8,180,SSD,0,14.0,HD,,0,Integrated,Windows 10,40,4.8
Laptop HP Elitebook 840 G3 Core i5 6300u RAM 8GB SSD 256 Mulus Murah - 8GB SSD 256,Hp,3350000,Intel,6,i5,6300U,8,256,SSD,0,14.0,,,0,Integrated,,70,4.8
"Laptop Hp Elitebook 840 G6 Core i7 Gen8 RAM 16GB SSD 512 FHD IPS - SSD 256GB, 16 gb",Hp,4499000,Intel,8,i7,,16,256,SSD,0,14.0,FHD,IPS,0,Integrated,Windows 10,80,5.0
Laptop HP Elitebook 840 G7 Core i7 Gen 10 RAM 16GB SSD 1TB FHD IPS Win 11 Original Slim Murah - SSD NVME 256GB,Hp,5650000,Intel,10,i7,,16,256,SSD,1,14.0,FHD,IPS,0,Integrated,Windows 11,80,5.0
"Laptop Hp Elitebook 8440p - Corei5 - 4GB - SSD 80GB - Battery Good Gan - SSD 128GB, 4 gb",Hp,1599000,Intel,,i5,,4,128,SSD,0,14.0,HD,,0,Integrated,,30,4.9
"Laptop Hp Elitebook 8460p - Core i5 - 4GB - 320GB - DVD- Murah Garansi - 4 gb, HDD 320GB",Hp,2399000,Intel,2,i5,2520M2,4,320,HDD,0,,HD,,0,Integrated,,,
Laptop Hp Elitebook 8470p Core i5 SSD 240 RAM 8GB DVD CAM Win 10 Murah,Hp,2399000,Intel,3,i5,3230M,8,240,SSD,0,14.0,HD,,0,Integrated,Windows 10,30,4.7
Laptop Hp EliteBook 8470P - corei5 3320M - 4GB - 500GB - Battery Good - HDD 320GB,Hp,1799000,Intel,3,i5,3320M,4,320,HDD,0,,HD,,0,Integrated,,40,4.9
Laptop HP Elitebook 850 G3 Core i7 6600u RAM 8GB SSD 256 Full HD Murah - SSD 128GB,Hp,6499000,Intel,6,i7,6600U,8,128,SSD,0,15.6,FHD,,0,Integrated,,10,5.0
Laptop Hp Elitebook Folio 9470M Core i5 3427u 8GB 320GB Murah Slim - HDD 500GB,Hp,2990000,Intel,3,i5,3427U,8,500,HDD,0,,HD,,0,Integrated,,100,4.8
Laptop Hp Elitebook Folio 9480M Core i5 Gen4 - 8GB - 500GB - Murah Gan - HDD 500GB,Hp,2990000,Intel,4,i5,4310U,8,500,HDD,0,,,,0,Integrated,,26,4.8
Laptop Hp Elitebook X360 Core i5 7200u 8GB SSD 256 Touchscreen IPS,Hp,6100000,Intel,7,i5,7200U,8,256,SSD,0,13.3,FHD,IPS,1,Integrated,,6,5.0
Laptop Hp Probook 430 G5 Core i5 8250u SSD 128 + HDD 500GB Win 10 Ori - 8GB HDD 500GB,Hp,4650000,Intel,8,i5,8250U,8,500,HDD,0,13.3,HD,,0,Integrated,Windows 10,22,5.0
"Laptop HP Probook 430 G5 Core i7 8th Gen RAM 16GB SSD 512GB Win 10 - SSD 256GB, 8 gb",Hp,3899000,Intel,8,i7,,16,256,SSD,0,13.3,HD,,0,Integrated,Windows 10,24,5.0
Laptop Hp Probook 430 G5 Intel Celeron 3865u RAM 4GB SSD 128GB Mulus,Hp,2850000,Intel,,celeron,,4,128,SSD,0,13.3,HD,,0,Integrated,,16,5.0
Laptop Hp Probook 445 G8 AMD Ryzen 7 5800U RAM 16GB SSD NVME 256 Murah Garansi - SSD 256GB,Hp,5399000,AMD,5,ryzen7,5800U,16,256,SSD,1,13.3,,,0,Integrated,Windows 11,5,5.0
Laptop Hp Probook 650 G3 Core i5 7th Gen RAM 16GB SSD 256GB FHD Murah,Hp,3950000,Intel,7,i5,7200U,16,256,SSD,0,15.6,FHD,,0,Integrated,,6,5.0
Laptop HP Probook 650 G3 Core i7 7820HQ RAM 8GB SSD Full HD Win 10 Ori - RAM 8GB SSD 128,Hp,6499000,Intel,7,i7,7820HQ,8,128,SSD,0,15.6,FHD,,0,Integrated,Windows 10,30,5.0
Laptop Hp Probook 6570B Core i3 RAM 4GB HDD 320GB DVD Camera Murah,Hp,2300000,Intel,,i3,,4,320,HDD,0,,,,0,Integrated,,7,4.0
Laptop HP ZBook 15 G2 Core i7 4810MQ - 16GB - Nvidia Quadro 2GB Murah,Hp,4899000,Intel,4,i7,4810MQ,16,256,SSD,0,15.6,FHD,,0,Dedicated,,21,5.0
Laptop Hp Zbook 15u G6 Core i7 8th Gen RAM 16GB SSD 512 AMD Radeon 4GB - SSD 256GB,Hp,6750000,Intel,8,i7,8665U,16,256,SSD,0,15.6,FHD,IPS,0,Integrated,,10,5.0
Laptop Hp Zbook 17 G2 Core i7 - 16GB - SSD 256 - VGA Nvidia 4GB Murah,Hp,6950000,Intel,4,i7,4710MQ,16,256,SSD,0,17.0,FHD,,0,Dedicated,,,
Laptop Lenovo T440p Core i7 4600M - 8GB - 500GB - Nvidia 1GB - Murah,Lenovo,5499000,Intel,4,i7,4600M,8,256,SSD,0,14.0,HD,,0,Dedicated,,6,5.0
Laptop Lenovo Thinkpad 13 Core i5 7th Gen RAM 8GB SSD Touchsceeen FHD - SSD 128GB,Lenovo,3200000,Intel,7,i5,7200U,8,128,SSD,0,13.3,FHD,IPS,1,Integrated,,70,5.0
Laptop Lenovo Thinkpad E580 Core i7 Gen8 RAM 16GB SSD 256 Win 11 Original Murah,Lenovo,4990000,Intel,8,i7,,16,256,SSD,0,15.6,HD,,0,Integrated,Windows 11,11,5.0
Laptop Lenovo Thinkpad T14 G2 AMD Ryzen 5 Pro 5650U RAM 16GB SSD NVME 512GB Touchscreen Full HD IPS Murah Garansi - SSD 256GB,Lenovo,5250000,AMD,5,ryzen5,5650U,16,256,SSD,1,14.0,FHD,IPS,1,Integrated,Windows 11,13,4.8
Laptop Lenovo ThinkPad L13 G3 | i7-1265U | RAM 32GB | SSD 512GB | Layar IPS | Siap Pakai | Windows 11,Lenovo,8499000,Intel,12,i7,1265U,32,512,SSD,0,,FHD,IPS,0,Integrated,Windows 11,2,
Laptop Lenovo Thinkpad L13 Yoga 2nd Core i5 Gen 11 RAM 16 SSD 512 - SSD 256GB,Lenovo,6350000,Intel,11,i5,1145G7,16,256,SSD,0,,,,1,Integrated,Windows 10,100,5.0
"Laptop Lenovo Thinkpad L15 AMD Ryzen 5 Pro 4650u RAM 16GB SSD 512 FHD IPS - SSD 256GB, 8 gb",Lenovo,3950000,AMD,4,ryzen5,4650u,16,256,SSD,0,15.6,FHD,IPS,0,Integrated,Windows 11,70,5.0
"Laptop Lenovo Thinkpad L380 YOGA Core i5 8th Gen RAM 16GB SSD Win 10 - SSD 256GB, 8 gb",Lenovo,2599000,Intel,8,i5,8265U,16,256,SSD,0,13.3,FHD,IPS,1,Integrated,Windows 10,80,4.9
Laptop Lenovo Thinkpad L390 Core i5 8th Gen RAM 8GB SSD 256 Murah Slim,Lenovo,6499000,Intel,8,i5,8265U,8,256,SSD,0,13.3,HD,,0,Integrated,,2,5.0
"Laptop Lenovo Thinkpad L490 Core i5 8th Gen RAM 8GB SSD FHD IPS Win 10 - SSD 128GB, 8 gb",Lenovo,2999000,Intel,8,i5,8250U,8,128,SSD,0,13.3,FHD,IPS,0,Integrated,Windows 10,50,5.0
Laptop Lenovo Thinkpad L580 Core i5 8250u RAM 8GB SSD 256 Murah Mulus - 8GB SSD 256,Lenovo,2950000,Intel,8,i5,8250U,8,256,SSD,0,15.6,HD,,0,Integrated,,40,5.0
"Laptop Lenovo Thinkpad P1 Gen 2 Core i7 9750H RAM 32GB Quadro T1000 - NVME 256GB, 16 gb",Lenovo,9499000,Intel,2,i7,9750H,32,256,SSD,1,15.0,FHD,IPS,0,Dedicated,Windows 10,22,5.0
"Laptop Lenovo Thinkpad P14s AMD Ryzen 7 4750u RAM 16GB SSD 512 FHD IPS VGA AMD FirePro - SSD 512GB, 16 gb",Lenovo,5799000,AMD,4,ryzen7,4750u,16,512,SSD,1,14.0,FHD,IPS,0,Dedicated,Windows 11,100,4.9
Laptop Lenovo Thinkpad P15 Core i7 Gen 10 RAM 32GB SSD 512 VGA Nvidia Quadro Full HD IPS Touchscreen - RAM 16GB SSD 256,Lenovo,8899000,Intel,10,i7,10850H,32,256,SSD,0,15.0,FHD,IPS,1,Dedicated,Windows 11,8,5.0
Laptop Lenovo Thinkpad P50 Core i7 RAM 8GB SSD 256 Nvidia 4GB FHD IPS - 8GB SSD 256GB,Lenovo,10500000,Intel,6,i7,6700HQ,8,256,SSD,0,,FHD,IPS,0,Dedicated,Windows 10,17,5.0
"Laptop Lenovo Thinkpad P52s Core i7 8650u RAM 32GB SSD Nvidia Quadro - SSD 256GB, 16 gb",Lenovo,7500000,Intel,8,i7,8650U,32,256,SSD,0,,FHD,IPS,0,Dedicated,Windows 10,20,5.0
Laptop Lenovo Thinkpad T14 AMD Ryzen 5 Pro 4650u RAM 16GB SSD 256 FHD IPS VGA AMD Radeon Touchscreen,Lenovo,4950000,AMD,4,ryzen5,4650u,16,256,SSD,0,,FHD,IPS,1,Dedicated,,1,5.0
Laptop Lenovo Thinkpad T14 AMD Ryzen 5 Pro 4650u RAM 16GB SSD 512 FHD IPS VGA AMD Radeon - SSD 256GB,Lenovo,5000000,AMD,4,ryzen5,4650u,16,256,SSD,1,14.0,FHD,IPS,0,Dedicated,Windows 11,100,5.0
"Laptop Lenovo Thinkpad T14 Core i7 Gen 10 RAM 16GB SSD 512 Full HD IPS - SSD NVME 256GB, 16 gb",Lenovo,5499000,Intel,10,i7,10610,16,256,SSD,1,14.0,FHD,IPS,0,Integrated,,50,5.0
"Laptop Lenovo Thinkpad T14 G2 Core i5 Gen 11 RAM 16GB SSD 512 FHD IPS Win 11 - SSD NVME 256GB, 16 gb",Lenovo,4999000,Intel,11,i5,1145G7,16,256,SSD,1,14.0,FHD,IPS,0,Integrated,Windows 11,100,5.0
"Laptop Lenovo Thinkpad T14 G2 Core i7 Gen 11 RAM 16GB SSD 512 FHD IPS Win 11 - SSD NVME 256GB, 16 gb",Lenovo,5999000,Intel,11,i7,1185G7,16,256,SSD,1,14.0,FHD,IPS,0,Integrated,Windows 11,80,4.9
Laptop Lenovo Thinkpad T14s AMD Ryzen 7 Pro 4750u RAM 16GB SSD 512 FHD IPS VGA AMD Radeon - SSD 256GB,Lenovo,5499000,AMD,4,ryzen7,4750u,16,256,SSD,1,14.0,FHD,IPS,0,Dedicated,Windows 11,16,5.0
